onset	duration	trial_period	trial	TR_relativeToTrialOnset	trial_type	response_time	button_pressed	choice	outcome	gamble_position	rightbutton_position	total_gain
146.0001	2	ITI	11	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
148.0015	2	prechoice	12	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
150.0015	4	choice	12	2	symmetric	1.0688	left	safe	n/a	top	top	n/a
154.0015	2	outcome	12	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	17.85
156.0015	2	ITI	12	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
158.0015	2	ITI	12	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
160.0015	2	ITI	12	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
162.0001	2	prechoice	13	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
164.0001	4	choice	13	2	symmetric	1.3358	left	safe	n/a	bottom	bottom	n/a
168.0001	2	outcome	13	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	17.85
170.0001	2	ITI	13	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.0001	2	ITI	13	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
174.0001	2	prechoice	14	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
176.0001	4	choice	14	2	negativeSkew	2.1526	left	safe	n/a	top	top	n/a
180.0001	2	outcome	14	4	negativeSkew	n/a	n/a	n/a	0.0	n/a	n/a	17.85
182.0001	2	ITI	14	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
184.0001	2	ITI	14	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
186.0001	2	prechoice	15	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
188.0001	4	choice	15	2	positiveSkew	0.886	left	gamble	n/a	bottom	top	n/a
192.0001	2	outcome	15	4	positiveSkew	n/a	n/a	n/a	5.25	n/a	n/a	23.1
194.0001	2	ITI	15	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
196.0001	2	ITI	15	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
198.0001	2	prechoice	16	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
200.0001	4	choice	16	2	negativeSkew	0.9361	right	gamble	n/a	top	top	n/a
204.0001	2	outcome	16	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	24.85
206.0001	2	ITI	16	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
208.0001	2	prechoice	17	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
210.0001	4	choice	17	2	negativeSkew	2.0858	right	gamble	n/a	top	top	n/a
214.0001	2	outcome	17	4	negativeSkew	n/a	n/a	n/a	-5.25	n/a	n/a	19.6
216.0001	2	ITI	17	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
218.0001	2	prechoice	18	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
220.0001	4	choice	18	2	positiveSkew	0.83602	right	gamble	n/a	bottom	bottom	n/a
224.0001	2	outcome	18	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	17.85
226.0001	2	ITI	18	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
228.0001	2	prechoice	19	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
230.0001	4	choice	19	2	positiveSkew	0.8528	left	gamble	n/a	top	bottom	n/a
234.0001	2	outcome	19	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	16.1
236.0001	2	ITI	19	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
238.0001	2	ITI	19	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
240.0001	2	prechoice	20	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
242.0001	4	choice	20	2	positiveSkew	0.83603	right	gamble	n/a	bottom	bottom	n/a
246.0001	2	outcome	20	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	14.35
248.0001	2	ITI	20	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
250.0001	2	ITI	20	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
252.0001	2	ITI	20	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
254.0001	2	prechoice	21	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
256.0001	4	choice	21	2	positiveSkew	0.66926	right	gamble	n/a	top	top	n/a
260.0001	2	outcome	21	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	12.6
262.0001	2	ITI	21	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
264.0001	2	prechoice	22	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
266.0001	4	choice	22	2	symmetric	0.71917	left	gamble	n/a	bottom	top	n/a
270.0001	2	outcome	22	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	9.55
272.0001	2	ITI	22	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
274.0001	2	ITI	22	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
276.0001	2	ITI	22	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
278.0001	2	prechoice	23	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
280.0001	4	choice	23	2	negativeSkew	1.0692	left	gamble	n/a	top	bottom	n/a
284.0001	2	outcome	23	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	11.3
286.0001	2	ITI	23	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
288.0001	2	ITI	23	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
290.0001	2	ITI	23	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
292.0001	2	prechoice	24	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
294.0001	4	choice	24	2	symmetric	2.3025	right	safe	n/a	top	bottom	n/a
298.0001	2	outcome	24	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	11.3
300.0001	2	ITI	24	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
302.0001	2	ITI	24	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
304.0001	2	ITI	24	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
306.0002	2	prechoice	25	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
308.0002	4	choice	25	2	positiveSkew	0.80282	left	gamble	n/a	bottom	top	n/a
312.0002	2	outcome	25	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	9.55
314.0002	2	ITI	25	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
316.0002	2	ITI	25	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
318.0001	2	prechoice	26	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
320.0001	4	choice	26	2	negativeSkew	0.91935	right	gamble	n/a	top	top	n/a
324.0001	2	outcome	26	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	11.3
326.0001	2	ITI	26	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
328.0001	2	prechoice	27	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
330.0001	4	choice	27	2	negativeSkew	0.75328	left	gamble	n/a	bottom	top	n/a
334.0001	2	outcome	27	4	negativeSkew	n/a	n/a	n/a	-5.25	n/a	n/a	6.05
336.0001	2	ITI	27	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
338.0001	2	ITI	27	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
340.0001	2	prechoice	28	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
342.0001	4	choice	28	2	negativeSkew	1.0191	left	gamble	n/a	top	bottom	n/a
346.0001	2	outcome	28	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	7.8
348.0001	2	ITI	28	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
350.0001	2	prechoice	29	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
352.0001	4	choice	29	2	symmetric	0.71916	left	gamble	n/a	top	bottom	n/a
356.0001	2	outcome	29	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	4.75
358.0001	2	ITI	29	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
360.0001	2	prechoice	30	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
362.0001	4	choice	30	2	symmetric	1.4858	right	gamble	n/a	top	top	n/a
366.0001	2	outcome	30	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	1.7
368.0001	2	ITI	30	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
370.0001	2	ITI	30	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
372.0001	2	ITI	30	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
374.0001	2	prechoice	31	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
376.0001	4	choice	31	2	symmetric	0.81936	left	gamble	n/a	top	bottom	n/a
380.0001	2	outcome	31	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	-1.35
382.0001	2	ITI	31	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
384.0001	2	ITI	31	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
386.0001	2	prechoice	32	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
388.0001	4	choice	32	2	symmetric	1.2026	right	gamble	n/a	bottom	bottom	n/a
392.0001	2	outcome	32	4	symmetric	n/a	n/a	n/a	3.05	n/a	n/a	1.7
394.0001	2	ITI	32	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
396.0001	2	ITI	32	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
398.0001	2	ITI	32	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
